Row Labels,Count of user_session,Sum of price
valentino,9,722.38
value,4,2471
vans,29,2437.9
vard,1,669.26
vardoven,2,1132.6
varta,325,36025.81
vasin,3,1212.3
vaude,4,771.2
v-color,1,85.59
vectron,35,11857.42
vega,1216,35034.99
vegas,935,243848.46
veho,128,3428.02
venta,14,6987.53
ventara,12,2739.14
venti,7,1523.87
ventura,2,39.88
verbatim,22,897.39
verdi,6,2610.12
veritas,23,3554.34
verloni,104,5677.77
verossa,13,521.22
verran,2,61.78
versace,683,235949.22
versus,8,2334.26
vertex,22,1892.28
ves,10,193.1
vestel,77,25710.71
veston,122,4740.74
viatti,2319,109894.71
vibe,11,912.21
vichy,154,3800.94
victorinox,42,1933.66
viessmann,11,9210.98
viewsonic,56,27559.75
vihr,110,4280.22
viking,58,36304.67
vim-art,1,2.75
vinzer,136,10833.86
vionne,1,3.84
vip,2,30.74
vipe,28,581.98
vira,1,52.64
vissol,2,1791.56
vitaluce,18,516.53
vitebskiekovry,27,2345.34
vitek,5773,263702.2
vitesse,1,22.39
vitra,6,1024.61
viviennesabo,2,5.23
vivitek,18,29012.88
vivo,2761,730307.3
vladi,74,2577.86
vladitoys,1,9.24
vmv,7,974.94
vobix,5,617.64
vokter,1,37.75
vokul,2,164.22
volcano,5,2074.26
volkl,7,1882.78
volta,172,7793.61
voltman,153,12584.82
voltmaster,7,488.16
vortex,3,50.61
vossen,33,13153.47
vox,2,357.8
vt,2,81.29
v-t,2,40.3
vtech,16,1026.28
vulli,16,531.42
v-unic,1,218.77
wacom,170,50930.73
wagner,48,19077.23
wahl,28,2607.34
walfix,51,653.76
wallberry,86,1006.33
wangfeng,5,200.67
waspo,28,1153.32
waterpik,21,3469.78
weekend,277,211619.12
wehncke,10,2452.82
weichao,1,52.98
weider,3,38.61
weifeng,43,719.39
weina,1,29.28
wella,2,56.62
wellberg,109,2572.26
welly,322,2696
welss,78,4518.09
wenge,106,2726.96
wengemotion,1,23.09
wenyi,1,10.71
wera,171,29751.31
werner,1,9.71
wert,10,1284.29
wess,12,142.72
westa,44,3915.21
wester,1,25.71
westmark,1,10.26
westone,1,167.29
wethepeople,48,19120.71
whirlpool,171,84682.31
whistler,19,839.71
willmark,468,12270.22
willmax,2,4.12
wilmax,1,4.17
wilo,9,2746.66
wilson,16,1040.5
winca,70,27421.53
wincars,12,704.42
wind,1,351.62
winda,2,179.75
wing,1,647.8
wingo,15,3011.7
wingoffly,559,64161.39
wintek,5,37.57
withings,8,1518.5
wize,1,157.63
wk,10,60.23
woddon,9,224.61
wolf,2,1864.68
wonderlab,30,351.28
wonlex,949,32377.29
work,1,54.12
wortex,33,1457.63
worth,1,174.1
worwo,1,30.73
wowwee,16,841.97
wsp,1,489.07
w-star,30,1826.59
wster,56,2033
wuben,4,216.68
wurth,18,583.18
wuw,29,332.29
ww,14,212
x-digital,3,71.23
xerox,121,17110.3
x-game,458,20398.7
xgimi,13,11318.76
xiaomi,76212,15261480.12
xieming,2,108.06
xing,77,13822.07
xinyu,10,79.53
x-level,57,795.4
xp-pen,71,19432.76
x-race,21,5148.64
xxr,41,41219.14
yacco,88,12284.83
yamaguchi,23,3651.7
yamaha,936,429582.89
yamato,45,13248.4
yardforce,2,1311.48
yasham,1,16.09
yasin,1097,258987.29
yato,124,7715.22
yegam,5,15.79
yema,136,6616.4
yh,7,499.21
yika,11,534.15
yokatta,4,1455.38
yokohama,2881,245504.52
yota,2,69.5
yotrix,1,7.07
yoya,70,5834.9
yuandong,5,1766.45
yuka,2,278
yulu,2,32.44
yunteng,11,467.97
yusufhali,3,784.58
yvesrocher,4,23.74
zadoor,9,401.49
zalman,50,2660.46
zanussi,50,16627.74
zapco,5,1917.69
zara,7,1162.22
zarkoperfume,2,334.04
zebratoys,28,990.9
zeetex,28,1594.83
zegan,2,64.3
zelmer,119,6483.36
zemex,61,9723.02
zengen,13,732.81
zenmart,2,188.94
zeppelin,71,22348.98
zerten,7,1061.48
zeta,1851,130728.29
zfts,1,21.14
zhejiangjiajia,1,300.91
zic,33,605.22
zilli,1,1025.77
zilmer,9,262.79
zinc,11,233.81
zinvo,1,456.12
zlatek,265,12827.65
zmi,2,117.9
zolotoeruno,5,936.95
zongshen,8,2780.84
zoom,12,2007.72
zoops,1,19.43
zorg,10,2155.96
zotac,24,6294.55
zte,245,20990.79
zubr,48,4209.6
zuru,1,12.07
zyxel,8,1175.25
(blank),151262,29670714.33
Grand Total,1048575,304454734.3
