Row Labels,Count of user_session,Sum of price
cantra,1227,105228.73
canyon,768,33025.75
capcom,26,1332.23
capella,6,1312.8
caprice,165,11881.62
caramelia,406,14382.58
caraya,4,442.74
carcam,2,506.38
carfashion,1041,73839.82
carhome,1,16.99
carlsbad,200,54746.31
carlsbro,1,669.26
carmani,1,22.21
carpet,1,3.33
carpisa,16,833.56
carrera,2,483.41
cars,3,83.43
carters,231,6318
cartier,87,145096.85
carver,127,27330.96
carwel,31,6556.57
casamorati,2,566.3
casela,2,71.66
casio,6298,792171.37
casper,169,18756.77
castorland,12,80.88
castrol,85,2579.75
cata,15,4200.92
catunltd,45,3006.86
cavaletto,66,9024.65
cavanova,2,3036.35
cayee,4,77.11
cayin,7,1968.81
ccm,32,7151.76
celestron,48,7894.66
celine,1,537.72
cellio,32,1007.05
cellucor,2,76.97
cenmax,263,17575.74
centara,23,1177.88
centurion,193,17692.08
cerruti,3,116.68
cersanit,141,15750.69
certina,108,62101.88
cettua,8,23.55
cezaris,18,2796.5
chairman,12,2997.37
chameleon,100,4851.34
champion,3,486.49
chanel,467,82525.44
changerobot,9,370.44
changhong,435,92157.8
char-broil,11,4650.21
chariots,1,19.8
chayka,475,48338.98
chic,1,220.45
chicco,999,119711.31
chieftec,3,228.81
chigo,8,5379.14
childhome,10,2502.02
chilok,5,221.74
ching-ching,9,979.7
chloe,52,4015.47
chopard,13,6126.28
christina,30,870.97
chub,1,38.61
chuggington,4,195.62
ciaobimbi,1,51.48
cifyurm,6,139.02
cinemood,4,1626.8
circle,5,1263.88
citizen,62,16157.15
cityrover,2,488.56
cityup,31,1683.61
clarion,65,5272.72
classen,12,373.63
clasy,3,227.82
clatronic,232,14590.35
clever,6,28.37
cliff,11,3114.65
climadiff,5,12623.85
cmi,19,5082.92
cmt,1,483.01
cnd,71,7871.72
coballe,171,12081.26
cobi,24,876.1
cobra,19,4149.63
coccinelle,35,7799.65
cocochoco,3,46.59
codemasters,6,208.5
coleman,76,30023.39
colgate,17,244.63
collistar,72,2208.55
coloma,1,33.72
colombo,34,1507.99
colorfix,8,78.21
colorful,10,1250.48
colourpop,3,97.82
comfee,34,3858.17
comforser,445,27133.26
comfort,7,104.46
comma,10,129.22
compasal,22,872.58
compliment,5,8.25
complimenti,1,4.5
concept,4,47.88
conceptclub,134,5937.21
condtrol,24,3992.19
confetti,179,1536.28
constancy,1,263.84
continent,198,3688.44
continental,678,84323.65
converse,21,1164.24
coolermaster,2,194.58
coolfort,165,11784.34
coopervision,30,916.66
cordiant,8961,432278.31
corpus,2,20.35
corsair,16,1768.65
cort,132,31791.61
cortland,353,35468.89
coty,41,601.47
cougar,82,7474.91
covani,82,8923.65
cover,285,58039.53
